순위,종목코드,종목명,시장,외국인지분율(%),보유수량,상장주식수
1,900270,헝셩그룹,KOSDAQ,82.0,20019267,24404704
2,034950,한국기업평가,KOSDAQ,80.6,3660980,4540514
3,033200,모아텍,KOSDAQ,80.06,7368979,9204529
4,010950,S-Oil,KOSPI,77.75,87549612,112582792
5,005935,삼성전자우,KOSPI,77.2,619469987,802371203
6,900290,GRT,KOSDAQ,75.94,62124982,81800000
7,105560,KB금융,KOSPI,75.9,282931481,372850455
8,214150,클래시스,KOSDAQ,71.4,46569001,65235659
9,376290,씨유테크,KOSDAQ,70.2,12391594,17657500
10,086790,하나금융지주,KOSPI,68.44,187827686,274367748
11,075180,새론오토모티브,KOSPI,65.8,12636596,19200000
12,003470,유안타증권,KOSPI,65.3,130329485,199596576
13,013360,일성건설,KOSPI,65.0,35103848,54024880
14,064760,티씨케이,KOSDAQ,64.6,7225870,11179416
15,900310,컬러레이,KOSDAQ,64.25,41133952,64041675
16,950210,프레스티지바이오파마,KOSPI,63.38,38087992,60096155
17,025770,한국정보통신,KOSDAQ,63.28,23695458,37444271
18,092440,기신정기,KOSPI,62.72,18317574,29200000
19,055550,신한지주,KOSPI,61.38,291319665,474654361
20,077500,유니퀘스트,KOSPI,60.62,13093054,21600102
21,192650,드림텍,KOSPI,59.1,40734066,68974199
22,002960,한국쉘석유,KOSPI,59.03,767329,1300000
23,049470,비트플래닛,KOSDAQ,58.84,13853327,23544899
24,145020,휴젤,KOSDAQ,58.0,7136555,12304033
25,000810,삼성화재,KOSPI,57.62,25729498,44647473
26,069510,에스텍,KOSDAQ,57.1,6230100,10910000
27,005385,현대차우,KOSPI,56.9,13291443,23340960
28,013870,지엠비코리아,KOSPI,56.03,10684413,19072280
29,012750,에스원,KOSPI,55.97,21267609,37999178
30,900260,로스웰,KOSDAQ,55.2,25413062,46029706
31,005387,현대차2우B,KOSPI,54.6,19081647,34963930
32,042110,에스씨디,KOSDAQ,53.84,26015171,48329564
33,021240,코웨이,KOSPI,53.28,37698662,70767426
34,000660,SK하이닉스,KOSPI,52.38,373159473,712702365
35,014440,영보화학,KOSPI,52.03,10406289,20000000
36,052790,액토즈소프트,KOSDAQ,51.97,5677343,10924547
37,288330,파라택시스코리아,KOSDAQ,51.75,54907663,106080948
38,025900,동화기업,KOSDAQ,50.88,25730788,50557285
39,033780,KT&G,KOSPI,50.8,52733580,103810456
40,223250,드림씨아이에스,KOSDAQ,50.1,12323265,24600444
41,030200,KT,KOSPI,49.0,123490626,252021685
42,402340,SK스퀘어,KOSPI,48.9,64573649,131958386
43,005930,삼성전자,KOSPI,48.84,2856158359,5846278608
44,123410,코리아에프티,KOSDAQ,48.38,13455772,27841064
45,066575,LG전자우,KOSPI,48.0,8248901,17181299
46,082640,동양생명,KOSPI,47.8,77086733,161358585
47,051915,LG화학우,KOSPI,47.25,3633988,7688800
48,005830,DB손해보험,KOSPI,47.1,30844677,65500349
49,106190,하이텍팜,KOSDAQ,46.9,4991372,10633173
50,051905,LG생활건강우,KOSPI,46.84,982201,2096259
51,026890,스틱인베스트먼트,KOSPI,46.12,17888622,38770837
52,090435,아모레퍼시픽우,KOSPI,46.0,4856636,10557830
53,086280,현대글로비스,KOSPI,45.88,34398070,75000000
54,316140,우리금융지주,KOSPI,45.28,332374880,734076320
55,900340,윙입푸드,KOSDAQ,45.25,22768170,50330928
56,071280,로체시스템즈,KOSDAQ,45.2,6916326,15296603
57,012450,한화에어로스페이스,KOSPI,45.12,23270567,51563401
58,002795,아모레퍼시픽홀딩스우,KOSPI,44.72,2853074,6381172
59,139130,iM금융지주,KOSPI,44.7,71773049,160624583
60,093320,케이아이엔엑스,KOSDAQ,43.38,2115218,4880000
61,130580,나이스디앤비,KOSDAQ,43.25,6660314,15400000
62,081660,미스토홀딩스,KOSPI,42.03,22313362,53091840
63,032640,LG유플러스,KOSPI,41.97,180404141,429828355
64,259960,크래프톤,KOSPI,41.97,19894966,47408316
65,012330,현대모비스,KOSPI,41.6,37727077,90732583
66,334970,프레스티지바이오로직스,KOSDAQ,41.56,32302869,77752637
67,014680,한솔케미칼,KOSPI,41.38,4701613,11370195
68,005680,삼영전자,KOSPI,41.1,8216259,20000000
69,003555,LG우,KOSPI,40.97,1233997,3011199
70,138930,BNK금융지주,KOSPI,40.88,126896371,310327033
71,079940,가비아,KOSDAQ,40.12,5385625,13420684
72,365550,ESR켄달스퀘어리츠,KOSPI,39.94,98296638,246089000
73,028050,삼성E&A,KOSPI,39.84,78071175,196000000
74,017670,SK텔레콤,KOSPI,39.47,84801843,214790053
75,009150,삼성전기,KOSPI,38.75,28933139,74693696
76,006110,삼아알미늄,KOSPI,38.56,5831398,15123455
77,032580,피델릭스,KOSDAQ,38.38,12713221,33132064
78,000270,기아,KOSPI,38.38,149878924,390412998
79,192820,코스맥스,KOSPI,38.38,4356872,11349509
80,161390,한국타이어앤테크놀로지,KOSPI,38.12,47243707,123875069
81,241560,두산밥캣,KOSPI,38.1,36523379,95856065
82,161890,한국콜마,KOSPI,37.9,8951230,23605077
83,278470,에이피알,KOSPI,37.6,14074155,37438155
84,041830,인바디,KOSDAQ,37.53,5057584,13480882
85,004380,삼익THK,KOSPI,37.1,7680614,20700000
86,001450,현대해상,KOSPI,37.0,31545639,85248250
87,271560,오리온,KOSPI,37.0,14631873,39536132
88,462870,시프트업,KOSPI,36.94,21667924,58654340
89,035420,NAVER,KOSPI,36.94,57955935,156873776
90,051910,LG화학,KOSPI,36.88,26041398,70592343
91,048830,엔피케이,KOSDAQ,36.84,6899814,18723923
92,003550,LG,KOSPI,36.78,56735039,154221585
93,002360,SH에너지화학,KOSPI,36.38,40419068,111133730
94,084370,유진테크,KOSDAQ,36.34,8324751,22916042
95,267260,HD현대일렉트릭,KOSPI,36.25,13066249,36047135
96,0129K0,신한제18호스팩,KOSDAQ,35.72,2007395,5620000
97,036570,NC,KOSPI,35.6,7666888,21544022
98,064350,현대로템,KOSPI,35.44,38678978,109142293
99,282330,BGF리테일,KOSPI,35.3,6102633,17283906
100,066570,LG전자,KOSPI,34.97,56950456,162884638
101,140860,파크시스템스,KOSDAQ,34.88,2440152,6997557
102,071050,한국금융지주,KOSPI,34.4,19168731,55725992
103,483650,달바글로벌,KOSPI,34.3,4262805,12421540
104,175330,JB금융지주,KOSPI,34.3,64593567,188253584
105,035000,HS애드,KOSPI,34.12,5532760,16207644
106,009540,HD한국조선해양,KOSPI,34.06,24098877,70773116
107,030190,NICE평가정보,KOSPI,32.84,19355258,58911527
108,097955,CJ제일제당 우,KOSPI,32.6,432591,1327433
109,003650,미창석유,KOSPI,32.53,565796,1739672
110,014620,성광벤드,KOSDAQ,32.25,8564470,26557364
111,005490,POSCO홀딩스,KOSPI,31.31,24807336,79241527
112,061970,LB세미콘,KOSDAQ,31.2,18124018,58083006
113,033790,피노,KOSDAQ,31.06,25574859,82331788
114,007590,동방아그로,KOSPI,31.05,4228499,13617577
115,028260,삼성물산,KOSPI,30.9,50122943,162168981
116,010140,삼성중공업,KOSPI,30.81,271170715,880000000
117,403870,HPSP,KOSDAQ,30.78,25335158,82300000
118,041510,에스엠,KOSDAQ,30.77,7041433,22894690
119,446540,메가터치,KOSDAQ,30.7,7969584,25963749
120,082920,비츠로셀,KOSDAQ,30.56,13857668,45339477
121,069080,웹젠,KOSDAQ,30.1,9321884,30966575
122,034220,LG디스플레이,KOSPI,30.05,150230625,500000000
